CropSize,AvgStatistic,TimePerImage,Detections,SuccessRate
1.280000000000000000e+02,2.603817553917447958e-02,7.816280637468610987e-03,2.000000000000000000e+00,2.857142857142856940e+01
2.560000000000000000e+02,5.194949304490967951e-02,2.049125943865095015e-02,6.000000000000000000e+00,8.571428571428570820e+01
5.120000000000000000e+02,1.071158392536581266e-01,8.346714292253766543e-02,7.000000000000000000e+00,1.000000000000000000e+02
1.024000000000000000e+03,2.145045190285933823e-01,3.580711569104875758e-01,7.000000000000000000e+00,1.000000000000000000e+02
2.048000000000000000e+03,4.248651709497091034e-01,1.610372986112322158e+00,7.000000000000000000e+00,1.000000000000000000e+02
