Function,Calls,Primitive Calls,Total Time (s),Cumulative Time (s),Time per Call (total),Time per Call (cumulative),Filename:Line
<built-in method builtins.setattr>,86,86,0.000028,0.000038,0.000000,0.000000,~:0
<genexpr>,3,3,0.000004,0.000037,0.000001,0.000012,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:1013
__new__,1,1,0.000005,0.000037,0.000005,0.000037,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:1850
__and__,10,10,0.000014,0.000037,0.000001,0.000004,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:1562
__init__,4,4,0.000015,0.000037,0.000004,0.000009,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:348
__init__,2,2,0.000008,0.000036,0.000004,0.000018,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:1269
<method 'rpartition' of 'str' objects>,183,183,0.000036,0.000036,0.000000,0.000000,~:0
_iterdir,3,3,0.000011,0.000036,0.000004,0.000012,/opt/miniconda3/envs/FastEnv/lib/python3.12/glob.py:142
_getdecoder,4,4,0.000010,0.000036,0.000003,0.000009,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:420
<built-in method numpy._core._multiarray_umath.dragon4_scientific>,4,4,0.000035,0.000035,0.000009,0.000009,~:0
_ppf,3,3,0.000006,0.000035,0.000002,0.000012,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/scipy/stats/_continuous_distns.py:440
<method 'close' of '_io.BufferedReader' objects>,4,4,0.000035,0.000035,0.000009,0.000009,~:0
<genexpr>,72,72,0.000022,0.000034,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_multilevel.py:331
<method '__exit__' of '_io._IOBase' objects>,18,18,0.000034,0.000034,0.000002,0.000002,~:0
<genexpr>,72,72,0.000034,0.000034,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_multilevel.py:333
_any,5,5,0.000002,0.000033,0.000000,0.000007,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/_methods.py:58
<module>,1,1,0.000005,0.000033,0.000005,0.000033,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/GimpGradientFile.py:1
__len__,172,172,0.000023,0.000033,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:164
match,220,220,0.000025,0.000032,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:256
getLogger,2,2,0.000003,0.000031,0.000002,0.000016,/opt/miniconda3/envs/FastEnv/lib/python3.12/logging/__init__.py:2149
_unpack_uint32,54,54,0.000020,0.000031,0.000000,0.000001,<frozen importlib._bootstrap_external>:84
<genexpr>,120,120,0.000026,0.000031,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_multidim.py:270
_simple,37,37,0.000011,0.000031,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_compiler.py:398
<genexpr>,96,96,0.000031,0.000031,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_multilevel.py:325
_validate_timestamp_pyc,18,18,0.000012,0.000030,0.000001,0.000002,<frozen importlib._bootstrap_external>:699
SOF,4,4,0.000021,0.000030,0.000005,0.000007,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/JpegImagePlugin.py:184
_classify_pyc,18,18,0.000014,0.000030,0.000001,0.000002,<frozen importlib._bootstrap_external>:666
<method 'rstrip' of 'str' objects>,269,269,0.000030,0.000030,0.000000,0.000000,~:0
reshape,2,2,0.000009,0.000029,0.000004,0.000015,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:211
_norm_ppf,3,3,0.000029,0.000029,0.000010,0.000010,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/scipy/stats/_continuous_distns.py:376
LoadingStrategy,1,1,0.000002,0.000028,0.000002,0.000028,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/GifImagePlugin.py:54
_all,9,9,0.000003,0.000028,0.000000,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/_methods.py:67
<built-in method _abc._abc_init>,5,5,0.000028,0.000028,0.000006,0.000006,~:0
getLogger,2,2,0.000011,0.000028,0.000005,0.000014,/opt/miniconda3/envs/FastEnv/lib/python3.12/logging/__init__.py:1377
<method 'extend' of 'list' objects>,77,77,0.000028,0.000028,0.000000,0.000000,~:0
getuntil,15,15,0.000016,0.000027,0.000001,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:274
i16be,86,86,0.000015,0.000026,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/_binary.py:90
append,93,93,0.000017,0.000026,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:176
atleast_1d,9,9,0.000013,0.000025,0.000001,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/shape_base.py:21
debug,40,40,0.000014,0.000025,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/logging/__init__.py:1517
_compile_charset,32,32,0.000017,0.000024,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_compiler.py:216
tell,109,109,0.000017,0.000024,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:293
opengroup,19,19,0.000013,0.000024,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:86
<built-in method builtins.min>,155,155,0.000024,0.000024,0.000000,0.000000,~:0
__init__,4,4,0.000015,0.000024,0.000004,0.000006,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:583
<built-in method posix.scandir>,1,1,0.000024,0.000024,0.000024,0.000024,~:0
<built-in method _struct.unpack>,83,83,0.000024,0.000024,0.000000,0.000000,~:0
__eq__,104,104,0.000013,0.000024,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:962
<method 'disable' of '_lsprof.Profiler' objects>,1,1,0.000023,0.000023,0.000023,0.000023,~:0
<genexpr>,120,120,0.000017,0.000023,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_multidim.py:267
_make_options_dict,3,3,0.000010,0.000023,0.000003,0.000008,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:50
Skip,10,10,0.000006,0.000022,0.000001,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/JpegImagePlugin.py:62
_register_basic,9,9,0.000016,0.000022,0.000002,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:495
_ensure_read,48,48,0.000013,0.000022,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:875
Disposal,1,1,0.000002,0.000022,0.000002,0.000022,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PngImagePlugin.py:104
parse,1,1,0.000001,0.000022,0.000001,0.000022,/opt/miniconda3/envs/FastEnv/lib/python3.12/ast.py:34
load,8,8,0.000014,0.000022,0.000002,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:882
<built-in method math.isnan>,4,4,0.000015,0.000021,0.000004,0.000005,~:0
<method 'reshape' of 'numpy.ndarray' objects>,19,19,0.000020,0.000020,0.000001,0.000001,~:0
<built-in method PIL._imaging.jpeg_decoder>,4,4,0.000019,0.000019,0.000005,0.000005,~:0
__exit__,76,76,0.000012,0.000019,0.000000,0.000000,<frozen importlib._bootstrap>:1226
_get_mixins_,6,6,0.000006,0.000019,0.000001,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:967
<method 'seek' of '_io.BufferedReader' objects>,13,13,0.000019,0.000019,0.000001,0.000001,~:0
<genexpr>,120,120,0.000013,0.000018,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:275
<genexpr>,72,72,0.000011,0.000018,0.000000,0.000000,<frozen importlib._bootstrap_external>:134
repr_format,3,3,0.000004,0.000018,0.000001,0.000006,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:436
__enter__,76,76,0.000012,0.000018,0.000000,0.000000,<frozen importlib._bootstrap>:1222
<built-in method builtins.delattr>,23,23,0.000006,0.000018,0.000000,0.000001,~:0
cb,19,19,0.000011,0.000018,0.000001,0.000001,<frozen importlib._bootstrap>:445
__new__,19,19,0.000013,0.000017,0.000001,0.000001,<frozen importlib._bootstrap>:74
__setattr__,13,13,0.000009,0.000017,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:1215
<built-in method numpy.lib.array_utils.normalize_axis_index>,68,68,0.000017,0.000017,0.000000,0.000000,~:0
any,3,3,0.000002,0.000017,0.000001,0.000006,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2477
copy_with,1,1,0.000002,0.000017,0.000002,0.000017,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:1542
_unpack_tuple,48,48,0.000012,0.000017,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:132
<method 'take' of 'numpy.ndarray' objects>,4,4,0.000017,0.000017,0.000004,0.000004,~:0
<genexpr>,4,4,0.000001,0.000016,0.000000,0.000004,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:1569
_verbose_message,135,135,0.000016,0.000016,0.000000,0.000000,<frozen importlib._bootstrap>:491
_get_value,36,36,0.000011,0.000016,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:1544
_escape,28,28,0.000010,0.000016,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:372
Fraction,1,1,0.000010,0.000016,0.000010,0.000016,/opt/miniconda3/envs/FastEnv/lib/python3.12/fractions.py:162
<method 'sum' of 'numpy.ndarray' objects>,2,2,0.000009,0.000016,0.000004,0.000008,~:0
place,9,9,0.000007,0.000015,0.000001,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:2047
find_spec,19,19,0.000006,0.000015,0.000000,0.000001,<frozen importlib._bootstrap>:1128
Blend,1,1,0.000001,0.000014,0.000001,0.000014,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PngImagePlugin.py:125
translate,1,1,0.000008,0.000014,0.000008,0.000014,/opt/miniconda3/envs/FastEnv/lib/python3.12/fnmatch.py:74
__init__,19,19,0.000010,0.000014,0.000001,0.000001,<frozen importlib._bootstrap>:232
__init_subclass__,1,1,0.000007,0.000014,0.000007,0.000014,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:1994
getmode,1,1,0.000011,0.000014,0.000011,0.000014,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageMode.py:37
__init__,2,2,0.000003,0.000014,0.000001,0.000007,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:1174
<built-in method PIL._imaging.raw_encoder>,4,4,0.000014,0.000014,0.000003,0.000003,~:0
update_wrapper,3,3,0.000007,0.000014,0.000002,0.000005,/opt/miniconda3/envs/FastEnv/lib/python3.12/functools.py:35
find_spec,19,19,0.000008,0.000014,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/_distutils_hack/__init__.py:101
_min_dispatcher,81,81,0.000014,0.000014,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3185
_path_abspath,19,19,0.000005,0.000013,0.000000,0.000001,<frozen importlib._bootstrap_external>:185
full,3,3,0.000009,0.000013,0.000003,0.000004,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/numeric.py:290
<built-in method builtins.locals>,4,4,0.000013,0.000013,0.000003,0.000003,~:0
IFDRational,1,1,0.000007,0.000012,0.000007,0.000012,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:334
_find_data_type_,6,6,0.000009,0.000012,0.000002,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:1008
_extendLine_pretty,5,5,0.000005,0.000012,0.000001,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:801
_is_private,18,18,0.000008,0.000012,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:79
<method 'item' of 'numpy.generic' objects>,3,3,0.000012,0.000012,0.000004,0.000004,~:0
__setattr__,14,14,0.000010,0.000012,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:850
__delattr__,23,23,0.000012,0.000012,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:785
__call__,2,2,0.000011,0.000012,0.000005,0.000006,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:1073
_broadcast_shape,3,3,0.000012,0.000012,0.000004,0.000004,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:413
_getmp,4,4,0.000005,0.000012,0.000001,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/JpegImagePlugin.py:527
im,12,12,0.000006,0.000012,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:560
remove,19,19,0.000008,0.000011,0.000000,0.000001,<frozen importlib._bootstrap>:82
find_spec,19,19,0.000005,0.000011,0.000000,0.000001,<frozen importlib._bootstrap>:982
_check_name_wrapper,18,18,0.000010,0.000011,0.000001,0.000001,<frozen importlib._bootstrap_external>:643
<built-in method _imp.release_lock>,114,114,0.000011,0.000011,0.000000,0.000000,~:0
<module>,1,1,0.000002,0.000011,0.000002,0.000011,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageSequence.py:1
__enter__,1,1,0.000003,0.000011,0.000003,0.000011,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:440
<method 'find' of 'bytearray' objects>,66,66,0.000011,0.000011,0.000000,0.000000,~:0
register_extensions,4,4,0.000003,0.000011,0.000001,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:3717
_convert,9,1,0.000009,0.000011,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/ast.py:86
__call__,12,12,0.000007,0.000011,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:726
register_extension,16,16,0.000007,0.000011,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:3706
isEnabledFor,40,40,0.000008,0.000011,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/logging/__init__.py:1790
_fixup,8,8,0.000006,0.000011,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:3912
_get_formatdict,3,3,0.000010,0.000010,0.000003,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:446
decorator,5,5,0.000006,0.000010,0.000001,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:476
<built-in method _imp.acquire_lock>,114,114,0.000010,0.000010,0.000000,0.000000,~:0
basic_handler,4,4,0.000003,0.000010,0.000001,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:502
__getattr__,12,12,0.000010,0.000010,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/JpegImagePlugin.py:395
_find_new_,3,3,0.000008,0.000010,0.000003,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:1035
groups,48,48,0.000007,0.000010,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:83
register_open,7,7,0.000007,0.000010,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:3641
<module>,1,1,0.000002,0.000010,0.000002,0.000010,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/GimpPaletteFile.py:1
__init__,1,1,0.000002,0.000010,0.000002,0.000010,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:1869
__init__,19,19,0.000010,0.000010,0.000000,0.000000,<frozen importlib._bootstrap>:79
<method 'read' of '_io.BytesIO' objects>,74,74,0.000009,0.000009,0.000000,0.000000,~:0
<method 'rfind' of 'str' objects>,41,41,0.000009,0.000009,0.000000,0.000000,~:0
has_magic,3,3,0.000003,0.000009,0.000001,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/glob.py:223
_path_isabs,19,19,0.000005,0.000009,0.000000,0.000000,<frozen importlib._bootstrap_external>:180
<method 'setimage' of 'ImagingDecoder' objects>,4,4,0.000009,0.000009,0.000002,0.000002,~:0
<genexpr>,5,5,0.000002,0.000009,0.000000,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:730
<module>,1,1,0.000002,0.000009,0.000002,0.000009,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PaletteFile.py:1
__exit__,19,19,0.000006,0.000009,0.000000,0.000000,<frozen importlib._bootstrap>:173
<built-in method builtins.repr>,41,41,0.000009,0.000009,0.000000,0.000000,~:0
<built-in method numpy._core._multiarray_umath._place>,9,9,0.000009,0.000009,0.000001,0.000001,~:0
_fixupParents,2,2,0.000005,0.000009,0.000003,0.000004,/opt/miniconda3/envs/FastEnv/lib/python3.12/logging/__init__.py:1428
_get_literal_prefix,5,4,0.000008,0.000009,0.000002,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_compiler.py:436
__init__,82,82,0.000009,0.000009,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:113
__delitem__,8,8,0.000005,0.000008,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:770
<method 'upper' of 'str' objects>,56,56,0.000008,0.000008,0.000000,0.000000,~:0
<method 'startswith' of 'bytes' objects>,9,9,0.000008,0.000008,0.000001,0.000001,~:0
_remove_dups_flatten,1,1,0.000006,0.000008,0.000006,0.000008,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:345
_check_for_existing_members_,3,3,0.000007,0.000008,0.000002,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:957
<method 'update' of 'dict' objects>,9,9,0.000008,0.000008,0.000001,0.000001,~:0
_uniq,11,11,0.000005,0.000008,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:449
_is_dunder,13,13,0.000004,0.000008,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:1161
_mk_bitmap,2,2,0.000007,0.000008,0.000003,0.000004,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_compiler.py:386
<method 'any' of 'numpy.generic' objects>,3,3,0.000003,0.000008,0.000001,0.000003,~:0
<method 'get' of 'mappingproxy' objects>,55,55,0.000008,0.000008,0.000000,0.000000,~:0
<method 'sort' of 'list' objects>,6,6,0.000006,0.000008,0.000001,0.000001,~:0
__new__,4,4,0.000006,0.000008,0.000002,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/fractions.py:186
_new_module,18,18,0.000007,0.000007,0.000000,0.000000,<frozen importlib._bootstrap>:48
_get_protocol_attrs,1,1,0.000005,0.000007,0.000005,0.000007,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:1749
<method 'set' of '_contextvars.ContextVar' objects>,1,1,0.000007,0.000007,0.000007,0.000007,~:0
exists,1,1,0.000002,0.000007,0.000002,0.000007,<frozen genericpath>:16
_sum,2,2,0.000001,0.000007,0.000000,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/_methods.py:50
<built-in method posix.fspath>,64,64,0.000007,0.000007,0.000000,0.000000,~:0
max,1,1,0.000001,0.000007,0.000001,0.000007,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3052
_is_sunder,18,18,0.000006,0.000007,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:59
__or__,2,2,0.000003,0.000007,0.000001,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:1551
<built-in method from_bytes>,54,54,0.000007,0.000007,0.000000,0.000000,~:0
_getmp,4,4,0.000007,0.000007,0.000002,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/JpegImagePlugin.py:537
_decompression_bomb_check,4,4,0.000003,0.000007,0.000001,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:3388
<method 'setimage' of 'ImagingEncoder' objects>,4,4,0.000007,0.000007,0.000002,0.000002,~:0
<method 'endswith' of 'str' objects>,31,31,0.000007,0.000007,0.000000,0.000000,~:0
enter_context,1,1,0.000003,0.000006,0.000003,0.000006,/opt/miniconda3/envs/FastEnv/lib/python3.12/contextlib.py:511
_get_support,3,3,0.000006,0.000006,0.000002,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/scipy/stats/_distn_infrastructure.py:997
__init__,5,5,0.000004,0.000006,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:231
decorating_function,1,1,0.000002,0.000006,0.000002,0.000006,/opt/miniconda3/envs/FastEnv/lib/python3.12/functools.py:516
<method '__exit__' of '_thread.RLock' objects>,38,38,0.000006,0.000006,0.000000,0.000000,~:0
_is_dunder,15,15,0.000005,0.000006,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:48
_collect_parameters,2,2,0.000002,0.000006,0.000001,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:262
<built-in method _imp.is_builtin>,19,19,0.000006,0.000006,0.000000,0.000000,~:0
__contains__,4,4,0.000005,0.000006,0.000001,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:4179
real,2,2,0.000006,0.000006,0.000003,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_type_check_impl.py:84
__setitem__,38,38,0.000005,0.000006,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:172
<method '__init_subclass__' of 'object' objects>,1,1,0.000004,0.000006,0.000004,0.000006,~:0
join,2,2,0.000004,0.000006,0.000002,0.000003,<frozen posixpath>:71
<method 'search' of 're.Pattern' objects>,3,3,0.000006,0.000006,0.000002,0.000002,~:0
__float__,4,4,0.000005,0.000006,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/numbers.py:308
_extendLine,5,5,0.000004,0.000006,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:787
<method 'pop' of 'list' objects>,37,37,0.000006,0.000006,0.000000,0.000000,~:0
<method 'seek' of '_io.BytesIO' objects>,48,48,0.000006,0.000006,0.000000,0.000000,~:0
__exit__,1,1,0.000005,0.000005,0.000005,0.000005,/opt/miniconda3/envs/FastEnv/lib/python3.12/contextlib.py:567
_operator_fallbacks,7,7,0.000005,0.000005,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/fractions.py:533
_unique_dispatcher,48,48,0.000005,0.000005,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:140
_read_bytes,3,3,0.000004,0.000005,0.000001,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/format.py:971
checkgroupname,15,15,0.000003,0.000005,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:304
BmpImageFile,1,1,0.000004,0.000005,0.000004,0.000005,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/BmpImagePlugin.py:63
<built-in method _sre.compile>,5,5,0.000005,0.000005,0.000001,0.000001,~:0
_is_descriptor,8,8,0.000003,0.000005,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:38
_delegate,27,27,0.000005,0.000005,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:325
<built-in method _thread.get_ident>,41,41,0.000005,0.000005,0.000000,0.000000,~:0
_is_internal_class,18,18,0.000003,0.000005,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:70
<method 'isidentifier' of 'str' objects>,32,32,0.000005,0.000005,0.000000,0.000000,~:0
<lambda>,4,4,0.000002,0.000005,0.000001,0.000001,<string>:1
mode,40,40,0.000005,0.000005,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:583
<built-in method builtins.ord>,51,51,0.000005,0.000005,0.000000,0.000000,~:0
width,8,8,0.000004,0.000005,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:571
read_magic,1,1,0.000002,0.000005,0.000002,0.000005,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/format.py:225
height,8,8,0.000004,0.000005,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:575
split,1,1,0.000003,0.000005,0.000003,0.000005,<frozen posixpath>:100
isfileobj,1,1,0.000004,0.000005,0.000004,0.000005,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/format.py:999
<built-in method _struct.calcsize>,10,10,0.000004,0.000004,0.000000,0.000000,~:0
<method 'split' of 'bytes' objects>,4,4,0.000004,0.000004,0.000001,0.000001,~:0
<method 'as_arrays' of 'numpy._core._multiarray_umath._array_converter' objects>,4,4,0.000004,0.000004,0.000001,0.000001,~:0
ImagePalette,1,1,0.000004,0.000004,0.000004,0.000004,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImagePalette.py:30
_Operand,1,1,0.000004,0.000004,0.000004,0.000004,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageMath.py:27
<method 'add' of 'set' objects>,29,29,0.000004,0.000004,0.000000,0.000000,~:0
_relax_case,20,20,0.000004,0.000004,0.000000,0.000000,<frozen importlib._bootstrap_external>:67
<genexpr>,16,16,0.000003,0.000004,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:732
<module>,1,1,0.000003,0.000004,0.000003,0.000004,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageChops.py:1
<built-in method _imp.find_frozen>,19,19,0.000004,0.000004,0.000000,0.000000,~:0
escape,4,4,0.000002,0.000004,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/__init__.py:255
__init__,19,19,0.000004,0.000004,0.000000,0.000000,<frozen importlib._bootstrap>:599
