Function,Calls,Primitive Calls,Total Time (s),Cumulative Time (s),Time per Call (total),Time per Call (cumulative),Filename:Line
<built-in method marshal.loads>,18,18,0.001460,0.001460,0.000081,0.000081,~:0
unique,48,48,0.000088,0.001310,0.000002,0.000027,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:145
<module>,1,1,0.000010,0.001309,0.000010,0.001309,/opt/miniconda3/envs/FastEnv/lib/python3.12/fractions.py:1
_name_includes_bit_suffix,296,296,0.000391,0.001307,0.000001,0.000004,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/_dtype.py:334
<module>,1,1,0.000004,0.001122,0.000004,0.001122,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImagePalette.py:1
_normalize_sequence,888,888,0.000514,0.001039,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/scipy/ndimage/_ni_support.py:62
_unique1d,48,48,0.000691,0.001021,0.000014,0.000021,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:339
parse,5,5,0.000016,0.000967,0.000003,0.000193,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:969
_parse_sub,33,5,0.000071,0.000941,0.000002,0.000029,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:452
issubdtype,296,296,0.000454,0.000916,0.000002,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/numerictypes.py:471
_parse,39,5,0.000331,0.000908,0.000008,0.000023,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:512
<built-in method builtins.isinstance>,4113,4113,0.000808,0.000892,0.000000,0.000000,~:0
_fix_coeffs,24,24,0.000201,0.000833,0.000008,0.000035,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_multidim.py:193
<module>,1,1,0.000020,0.000730,0.000020,0.000730,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PngImagePlugin.py:1
<built-in method builtins.getattr>,2026,2026,0.000637,0.000639,0.000000,0.000000,~:0
_find_spec,19,19,0.000074,0.000638,0.000004,0.000034,<frozen importlib._bootstrap>:1240
__new__,4,4,0.000110,0.000621,0.000027,0.000155,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:2809
get_threshold,3,3,0.000004,0.000588,0.000001,0.000196,/Users/charliecameron/CodingHub/CGC_Solutions/AdobeProject/adobe-detector/detectAdobe.py:30
inv_qfunc,3,3,0.000017,0.000584,0.000006,0.000195,/Users/charliecameron/CodingHub/CGC_Solutions/AdobeProject/adobe-detector/detectAdobe.py:22
ppf,3,3,0.000200,0.000567,0.000067,0.000189,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/scipy/stats/_distn_infrastructure.py:2272
<method 'append' of 'list' objects>,6313,6313,0.000564,0.000564,0.000000,0.000000,~:0
<built-in method numpy.asarray>,1742,1742,0.000563,0.000563,0.000000,0.000000,~:0
_make_nmtuple,4,4,0.000023,0.000506,0.000006,0.000126,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:2790
_code,5,5,0.000018,0.000493,0.000004,0.000099,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_compiler.py:573
find_spec,19,19,0.000009,0.000487,0.000000,0.000026,<frozen importlib._bootstrap_external>:1520
<built-in method _io.open_code>,18,18,0.000486,0.000486,0.000027,0.000027,~:0
_get_spec,19,19,0.000021,0.000479,0.000001,0.000025,<frozen importlib._bootstrap_external>:1491
_wavelets_per_axis,54,54,0.000057,0.000470,0.000001,0.000009,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_utils.py:36
<built-in method builtins.print>,6,6,0.000113,0.000469,0.000019,0.000078,~:0
find_spec,20,20,0.000084,0.000453,0.000004,0.000023,<frozen importlib._bootstrap_external>:1593
issubclass_,592,592,0.000246,0.000443,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/numerictypes.py:289
load,1,1,0.000018,0.000432,0.000018,0.000432,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_npyio_impl.py:308
iterable,595,595,0.000216,0.000428,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:339
<method 'get' of 'dict' objects>,950,950,0.000411,0.000411,0.000000,0.000000,~:0
_as_wavelet,54,54,0.000384,0.000403,0.000007,0.000007,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_utils.py:23
read_array,1,1,0.000012,0.000382,0.000012,0.000382,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/format.py:762
<method 'format' of 'str' objects>,298,298,0.000370,0.000370,0.000001,0.000001,~:0
_compile,76,5,0.000155,0.000365,0.000002,0.000005,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_compiler.py:37
_array_str_implementation,3,3,0.000029,0.000356,0.000010,0.000119,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:1685
_check_level,6,6,0.000054,0.000340,0.000009,0.000057,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_multilevel.py:31
load,4,4,0.000166,0.000334,0.000042,0.000083,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:885
array2string,3,3,0.000021,0.000326,0.000007,0.000109,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:605
APP,14,14,0.000063,0.000323,0.000004,0.000023,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/JpegImagePlugin.py:67
glob,1,1,0.000006,0.000316,0.000006,0.000316,/opt/miniconda3/envs/FastEnv/lib/python3.12/glob.py:13
<module>,1,1,0.000019,0.000314,0.000019,0.000314,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/JpegImagePlugin.py:1
_iglob,3,3,0.000008,0.000309,0.000003,0.000103,/opt/miniconda3/envs/FastEnv/lib/python3.12/glob.py:60
<module>,1,1,0.000011,0.000299,0.000011,0.000299,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageFile.py:1
__new__,3,3,0.000050,0.000296,0.000017,0.000099,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:528
<built-in method builtins.issubclass>,1313,1313,0.000291,0.000291,0.000000,0.000000,~:0
<method 'startswith' of 'str' objects>,697,697,0.000291,0.000291,0.000000,0.000000,~:0
<built-in method builtins.len>,2696,2611,0.000274,0.000286,0.000000,0.000000,~:0
<built-in method __new__ of type object at 0x1031ff320>,44,36,0.000137,0.000286,0.000003,0.000006,~:0
_glob1,1,1,0.000003,0.000281,0.000003,0.000281,/opt/miniconda3/envs/FastEnv/lib/python3.12/glob.py:105
<built-in method _io.open>,5,5,0.000281,0.000281,0.000056,0.000056,~:0
_check_axes,296,296,0.000280,0.000280,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/scipy/ndimage/_ni_support.py:110
wrapper,3,3,0.000011,0.000280,0.000004,0.000093,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:550
view_as_blocks,2,2,0.000123,0.000278,0.000062,0.000139,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/skimage/util/shape.py:8
argsreduce,9,9,0.000056,0.000276,0.000006,0.000031,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/scipy/stats/_distn_infrastructure.py:600
<built-in method numpy.fromfile>,1,1,0.000265,0.000274,0.000265,0.000274,~:0
_array2string,3,3,0.000016,0.000266,0.000005,0.000089,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:567
_safe_read,54,54,0.000021,0.000265,0.000000,0.000005,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageFile.py:598
_path_stat,57,57,0.000011,0.000264,0.000000,0.000005,<frozen importlib._bootstrap_external>:140
<built-in method posix.stat>,58,58,0.000259,0.000259,0.000004,0.000004,~:0
namedtuple,4,4,0.000117,0.000256,0.000029,0.000064,/opt/miniconda3/envs/FastEnv/lib/python3.12/collections/__init__.py:355
_sanity_check,592,592,0.000182,0.000251,0.000000,0.000000,<frozen importlib._bootstrap>:1285
_count_reduce_items,46,46,0.000208,0.000240,0.000005,0.000005,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/_methods.py:76
_type_check,18,18,0.000033,0.000236,0.000002,0.000013,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:175
filter,1,1,0.000006,0.000234,0.000006,0.000234,/opt/miniconda3/envs/FastEnv/lib/python3.12/fnmatch.py:48
_compile_pattern,1,1,0.000008,0.000223,0.000008,0.000223,/opt/miniconda3/envs/FastEnv/lib/python3.12/fnmatch.py:38
<built-in method builtins.iter>,600,600,0.000214,0.000214,0.000000,0.000000,~:0
<built-in method numpy.asanyarray>,163,163,0.000210,0.000210,0.000001,0.000001,~:0
get,906,906,0.000117,0.000196,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:261
_type_convert,21,21,0.000013,0.000191,0.000001,0.000009,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:166
__enter__,19,19,0.000012,0.000187,0.000001,0.000010,<frozen importlib._bootstrap>:416
__getitem__,8,8,0.000013,0.000185,0.000002,0.000023,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:4173
<built-in method builtins.compile>,15,15,0.000185,0.000185,0.000012,0.000012,~:0
_modes_per_axis,48,48,0.000164,0.000184,0.000003,0.000004,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_utils.py:72
_init_module_attrs,19,19,0.000036,0.000181,0.000002,0.000010,<frozen importlib._bootstrap>:733
__init__,14,14,0.000009,0.000176,0.000001,0.000013,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:892
_cook_nd_args,4,4,0.000069,0.000170,0.000017,0.000042,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/fft/_pocketfft.py:698
_get_format_function,3,3,0.000020,0.000168,0.000007,0.000056,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:496
