CropSize,AvgStatistic,TotalTime(s),NumImages,Detections,SuccessRate,TimePerImage(s),SpeedupVsOriginal
128,0.02603817553917448,0.06990885734558105,7,2,0.2857142857142857,0.009986979620797294,1073.4077600701182
256,0.05194949304490968,0.2007768154144287,7,6,0.8571428571428571,0.028682402202061245,373.7518687976402
512,0.10711583925365813,0.6406900882720947,7,7,1.0,0.0915271554674421,117.12481798300045
1024,0.21450451902859338,2.5946762561798096,7,7,1.0,0.37066803659711567,28.92103004899171
2048,0.4248651709497091,11.616381883621216,7,7,1.0,1.6594831262316023,6.459903843053486
original,3.6708186234481084,75.04070997238159,7,7,1.0,10.720101424625941,1.0
